PRECIO,DELEGACION,T_HABITACION,MIN_NOCHES,N_COMENTARIOS,COMENTARIOSXMES,N_VECES_HOST_LISTADO,DISPONIBILIDAD,CLUSTER
287,3,1,1,19,0.35,1,0,3
879,3,2,2,153,2.7,1,363,7
2676,6,1,1,1,0.06,9,364,3
554,6,1,1,6,0.2,1,365,3
1319,1,2,2,85,1.51,2,318,5
2982,3,2,3,85,1.73,40,76,2
707,3,1,1,48,0.99,1,180,3
1051,3,1,2,33,0.6,4,256,3
1510,1,2,3,1,0.77,1,27,1
1701,3,2,1,195,3.42,2,63,7
593,4,2,5,35,0.61,4,85,1
344,4,1,5,3,0.12,2,88,3
3040,3,2,3,1,0.02,1,0,1
268,6,1,1,57,1.07,2,357,3
688,11,1,1,1,0.02,3,363,0
535,1,1,2,49,0.88,20,320,2
688,11,1,1,4,0.33,3,109,0
268,1,3,1,23,0.42,9,364,5
401,1,1,3,66,1.2,1,364,3
363,3,1,2,17,0.3,1,159,3
1912,1,1,1,1,0.02,1,365,3
1376,1,2,2,1,0.05,3,333,5
1319,3,2,5,75,1.37,3,31,1
268,1,1,1,49,0.9,1,289,3
191,4,1,3,2,0.15,1,363,3
803,3,1,1,2,0.05,4,0,3
975,2,2,1,130,2.3,6,224,7
1529,1,2,2,90,2.32,13,344,5
879,1,1,2,94,2.02,1,93,3
459,2,1,3,23,0.41,3,296,3
956,3,2,3,8,0.15,1,0,1
306,1,2,8,56,1.37,2,305,5
2256,2,2,2,5,0.09,5,364,5
1912,2,1,2,3,0.05,7,89,3
574,1,1,3,35,0.72,20,365,2
726,1,2,2,184,3.3,13,354,7
860,3,1,1,2,0.08,3,327,3
956,4,2,3,6,0.22,1,177,1
1721,3,2,1,20,0.45,2,347,5
3116,3,2,2,149,2.91,6,345,7
1912,4,2,3,71,1.31,1,321,5
1300,2,2,1,49,0.88,7,102,1
975,2,2,1,168,4.27,6,319,7
421,6,1,6,5,0.12,2,361,3
994,2,1,2,58,1.04,1,284,3
1300,1,2,6,2,0.04,1,0,1
669,3,1,1,58,2.03,2,76,3
497,1,1,1,140,2.6,2,358,7
3823,1,2,4,113,2.04,6,66,7
765,1,1,2,1,0.34,2,359,3
1434,2,1,1,2,0.14,7,89,3
574,2,1,1,61,1.12,2,327,3
975,3,2,3,28,0.54,25,365,2
2007,1,2,1,4,0.07,1,365,5
344,1,1,2,4,0.11,1,90,3
1568,1,2,2,109,3.85,1,309,7
726,1,2,30,20,0.43,6,363,5
765,1,2,3,4,0.07,1,0,1
401,4,1,2,21,0.4,2,355,3
1529,1,2,3,195,3.54,7,298,7
2504,10,2,2,8,0.16,1,365,0
229,2,1,30,1,0.02,3,362,3
994,2,1,1,134,2.42,3,341,7
287,1,1,1,205,4.63,1,72,7
3479,1,2,6,3,0.06,1,0,1
1338,2,2,2,60,1.13,2,274,5
765,4,2,1,1,0.02,1,0,1
1682,2,2,1,13,0.72,7,126,1
2294,2,2,1,13,0.27,7,0,1
1778,1,2,2,77,1.4,1,0,1
1529,3,2,1,125,2.47,2,342,7
478,1,1,2,45,0.82,20,237,2
574,1,1,3,3,0.08,20,0,3
478,1,1,3,30,0.55,20,365,2
2122,1,2,1,159,2.92,1,289,7
287,1,1,4,22,0.4,3,0,3
1243,2,2,2,50,0.92,3,155,1
497,1,1,1,12,0.36,1,0,3
1147,1,2,3,189,3.49,1,283,7
1338,3,2,3,3,0.06,1,0,1
2007,1,2,1,335,6.15,9,256,7
1338,4,2,3,6,0.11,1,0,1
1051,1,2,2,79,1.65,1,345,5
3059,1,2,3,33,0.66,8,348,5
306,2,1,60,1,0.14,3,362,3
746,3,2,3,3,0.07,1,0,1
593,4,2,90,3,0.11,1,263,5
3154,3,2,3,21,0.5,10,354,5
1548,3,1,1,8,0.17,8,352,3
1721,3,1,1,14,0.29,8,357,3
554,11,1,3,1,0.1,2,365,0
554,1,1,2,15,0.28,1,364,3
554,11,1,2,2,0.12,2,365,0
1797,6,2,7,26,0.5,5,278,5
574,2,1,2,71,1.32,1,363,3
2390,3,2,3,12,0.23,1,0,1
1319,1,2,2,198,3.64,2,159,7
2294,2,2,3,20,1.03,1,305,5
210,1,1,1,27,0.5,9,365,3
229,1,1,2,16,0.49,9,365,3
612,1,2,1,169,4.74,1,288,7
784,1,2,4,129,2.4,5,46,7
191,4,1,1,1,0.02,1,0,3
994,5,2,3,30,0.87,3,340,5
1491,2,2,1,61,1.13,1,235,5
746,3,2,28,1,0.39,1,122,1
401,4,1,4,28,0.56,2,364,3
746,1,2,7,26,0.65,2,357,5
2084,1,2,3,35,0.69,8,353,5
1912,11,1,1,11,0.27,2,347,0
860,1,2,4,71,1.32,1,348,5
1243,2,1,3,6,0.11,7,89,3
344,1,1,2,77,1.5,1,317,3
1090,1,2,1,205,3.91,13,305,7
2868,1,2,3,101,1.9,1,0,1
2198,2,2,2,28,0.55,3,352,5
707,1,1,2,9,0.17,1,0,3
2198,1,2,3,26,0.57,3,174,1
784,4,2,5,16,0.34,4,66,1
765,2,1,1,4,0.08,3,365,3
1434,1,2,2,50,1.02,1,109,1
382,4,1,1,1,0.02,1,0,3
707,4,2,2,2,0.04,1,0,1
1606,4,2,1,144,4.21,5,340,7
898,4,2,1,225,4.25,5,305,7
3919,1,2,1,219,4.1,13,146,7
1032,1,2,2,95,1.91,1,0,1
1013,1,2,3,16,0.38,1,0,1
593,1,1,3,114,2.15,2,0,7
191,6,1,3,33,0.68,2,300,3
344,11,1,2,31,0.58,6,89,0
478,1,1,1,221,4.16,2,340,7
478,1,1,1,109,2.07,2,340,7
1682,1,2,2,172,3.27,5,56,7
325,1,1,2,16,0.31,1,342,3
25005,3,2,6,10,0.19,1,365,5
306,3,1,2,41,0.77,1,333,3
287,11,1,3,1,0.05,6,90,0
440,11,2,8,18,0.35,1,165,0
497,1,1,2,52,0.97,3,174,3
516,1,1,5,2,0.04,2,364,3
803,1,2,1,204,3.9,13,317,7
707,1,1,2,12,0.23,3,235,3
401,1,1,2,132,2.49,3,33,7
726,2,1,2,64,1.22,5,356,3
1243,1,2,1,27,0.53,1,358,5
956,3,1,2,2,0.04,3,0,3
344,4,1,30,12,0.24,7,174,3
1338,1,2,2,171,3.96,3,335,7
2504,4,1,1,4,0.08,1,364,3
1415,3,2,1,18,0.34,25,128,2
249,7,1,1,4,0.08,2,174,3
1434,3,2,2,25,0.59,3,365,5
765,1,2,3,211,4.17,1,78,7
1243,4,2,1,7,0.14,1,313,5
1051,3,2,1,21,0.4,25,365,2
191,4,1,5,16,0.33,7,174,3
401,2,1,1,1,0.03,2,365,3
746,3,2,5,11,0.21,1,173,1
860,1,1,2,106,1.99,1,344,7
